"Wavelength, µm","n","k"
1.555,1.15433399,11.02755833
1.56,1.16133507,11.06439191
1.565,1.16835689,11.10120803
1.57,1.17539942,11.13800678
1.575,1.18246263,11.17478821
1.58,1.18954649,11.21155239
1.585,1.19665098,11.24829936
1.59,1.20377607,11.28502921
1.595,1.21092173,11.32174197
1.6,1.21808794,11.35843771
1.605,1.22527467,11.39511648
1.61,1.23248189,11.43177834
1.615,1.23970958,11.46842334
1.62,1.24695771,11.50505153
1.625,1.25422626,11.54166296
1.63,1.2615152,11.57825769
1.635,1.2688245,11.61483575
1.64,1.27615414,11.6513972
1.645,1.28350409,11.68794209
1.65,1.29087433,11.72447045
1.655,1.29826483,11.76098234
1.66,1.30567557,11.7974778
1.665,1.31310652,11.83395686
1.67,1.32055766,11.87041958
1.675,1.32802896,11.90686598
1.68,1.3355204,11.94329612
1.685,1.34303195,11.97971002
1.69,1.35056359,12.01610774
1.695,1.35811529,12.0524893
1.7,1.36568703,12.08885473
1.705,1.37327879,12.12520409
1.71,1.38089053,12.16153739
1.715,1.38852224,12.19785468
1.72,1.3961739,12.23415599
1.725,1.40384547,12.27044135
1.73,1.41153693,12.30671079
1.735,1.41924826,12.34296434
1.74,1.42697944,12.37920203
1.745,1.43473044,12.4154239
1.75,1.44250123,12.45162996
1.755,1.4502918,12.48782026
1.76,1.45810212,12.52399481
1.765,1.46593216,12.56015364
1.77,1.4737819,12.59629678
1.775,1.48165132,12.63242426
1.78,1.4895404,12.6685361
1.785,1.49744911,12.70463232
1.79,1.50537742,12.74071295
1.795,1.51332532,12.77677801
1.8,1.52129277,12.81282753
